Finish,Name,Finish Date,Total Buy-in,Prize,Profit / (Loss)
SUMMARY,ALL - 13 TOURNAMENTS,,$130,$75,$(55)
2nd of 3,Spin&Go,02/14/2022 13:29:48,$10,$0,$(10)
3rd of 3,Spin&Go,02/14/2022 13:24:43,$10,$0,$(10)
3rd of 3,Spin&Go,02/14/2022 13:23:36,$10,$0,$(10)
1st of 3,Spin&Go,02/14/2022 13:23:16,$10,$25,$15
1st of 3,Spin&Go,02/14/2022 13:19:53,$10,$25,$15
3rd of 3,Spin&Go,02/14/2022 13:16:08,$10,$0,$(10)
2nd of 3,Spin&Go,02/14/2022 13:15:48,$10,$0,$(10)
3rd of 3,Spin&Go,02/14/2022 13:13:34,$10,$0,$(10)
3rd of 3,Spin&Go,02/14/2022 13:11:47,$10,$0,$(10)
1st of 3,Spin&Go,02/14/2022 13:06:54,$10,$25,$15
2nd of 3,Spin&Go,02/14/2022 13:00:21,$10,$0,$(10)
3rd of 3,Spin&Go,02/14/2022 12:55:50,$10,$0,$(10)
3rd of 3,Spin&Go,02/14/2022 12:54:40,$10,$0,$(10)
